TIME_INTERVAL,RESOURCE_NAME,AP_FLAG,SEC_FLAG,PSM_FLAG,DIPC_PRICE,RTD_PRICE,ADMIN_PRICE,SEC_PRICE,PSM_PRICE
08/01/2024,01BTNSOL_G01,N,N,N,4022.869,4022.869,5080.7058,4022.869,4022.869
08/01/2024,01BTPP_T3L1,N,N,N,4022.869,4022.869,5177.4591,4022.869,4022.869
08/01/2024,01BTPP_T3L2,N,N,N,4022.869,4022.869,5177.4591,4022.869,4022.869
08/01/2024,01BTPP_T3L3,N,N,N,4022.869,4022.869,5177.4591,4022.869,4022.869
08/01/2024,01BTPP_T3L4,N,N,N,4022.869,4022.869,5177.4591,4022.869,4022.869
08/01/2024,01BTPP_T3L5,N,N,N,4022.869,4022.869,5177.4591,4022.869,4022.869
08/01/2024,01BTPP_T4L1,N,N,N,4237.7214,4237.7214,5177.4591,4237.7214,4237.7214
08/01/2024,01BTSOLEN_BAT,N,N,N,4022.869,4022.869,5080.7058,4022.869,4022.869
08/01/2024,01BTSOLEN_G01,N,N,N,4022.869,4022.869,5080.7058,4022.869,4022.869
08/01/2024,01BULSOL_G01,N,N,N,4274.5896,4274.5896,2807.8965,4274.5896,4274.5896
08/01/2024,01BURGOS_G01,N,N,N,4288.1503,4288.1503,2362.5625,4288.1503,4288.1503
08/01/2024,01BURGOS_G02,N,N,N,4294.0831,4294.0831,5457.3308,4294.0831,4294.0831
08/01/2024,01BURGOS_G03,N,N,N,4294.0831,4294.0831,5457.3308,4294.0831,4294.0831
08/01/2024,01BURGOS_SS,N,N,N,4288.1503,4288.1503,5177.4591,4288.1503,4288.1503
08/01/2024,01BUTAO_G01,N,N,N,4204.2434,4204.2434,5343.8538,4204.2434,4204.2434
08/01/2024,01BYOMB_DID,N,N,N,4245.3493,4245.3493,5177.4591,4245.3493,4245.3493
08/01/2024,01BYOMB_SS,N,N,N,4244.5018,4244.5018,5177.4591,4244.5018,4244.5018
08/01/2024,01BYOMB_T1L1,N,N,N,4248.3157,4248.3157,5177.4591,4248.3157,4248.3157
08/01/2024,01BYOMB_T1L2,N,N,N,4245.3493,4245.3493,5177.4591,4245.3493,4245.3493
08/01/2024,01BYOMB_T1L3,N,N,N,4248.3157,4248.3157,5177.4591,4248.3157,4248.3157
08/01/2024,01CABSOL_G01,N,N,N,4307.2201,4307.2201,5458.9881,4307.2201,4307.2201
08/01/2024,01CAGBIO_G01,N,N,N,4355.5301,4355.5301,5721.552,4355.5301,4355.5301
08/01/2024,01CAGYSOL_G01,N,N,N,4413.5869,4413.5869,6012.1544,4413.5869,4413.5869
08/01/2024,01CALIBUNK_G01,N,N,N,4250.8584,4250.8584,5375.385,4250.8584,4250.8584
08/01/2024,01CAPRIS_G01,N,N,N,4288.5741,4288.5741,3068.5593,4288.5741,4288.5741
08/01/2024,01CAPRIS_G02,N,N,N,4288.5741,4288.5741,3377.4657,4288.5741,4288.5741
08/01/2024,01CASECN_G01,N,N,N,4130.9309,4130.9309,2712.2111,4130.9309,4130.9309
08/01/2024,01CASECN_SS,N,N,N,4130.9309,4130.9309,5177.4591,4130.9309,4130.9309
08/01/2024,01CAYBSOL_G01,N,N,N,4111.8611,4111.8611,5205.6376,4111.8611,4111.8611
08/01/2024,01CBNTU_SS,N,N,N,4307.2201,4307.2201,5177.4591,4307.2201,4307.2201
08/01/2024,01CBNTU_T1L1,N,N,N,4307.2201,4307.2201,5177.4591,4307.2201,4307.2201
08/01/2024,01CBNTU_T1L3,N,N,N,4307.2201,4307.2201,5177.4591,4307.2201,4307.2201
08/01/2024,01CBNTU_T2L1,N,N,N,4307.2201,4307.2201,5177.4591,4307.2201,4307.2201
08/01/2024,01CBNTU_T2L2,N,N,N,4307.2201,4307.2201,5177.4591,4307.2201,4307.2201
08/01/2024,01CBN_CELCOR,N,N,N,4307.2201,4307.2201,5177.4591,4307.2201,4307.2201
08/01/2024,01CIP2_G01,N,N,N,4221.1943,4221.1943,5424.3183,4221.1943,4221.1943
08/01/2024,01CLARK_L01,N,N,N,4237.7214,4237.7214,5177.4591,4237.7214,4237.7214
08/01/2024,01CLARK_L02,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01CLARK_L03,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01CLARK_L04,N,N,N,4251.7059,4251.7059,5177.4591,4251.7059,4251.7059
08/01/2024,01CLARK_SS,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01CLARK_T1L1,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01CLARK_T1L2,N,N,N,4237.7214,4237.7214,5177.4591,4237.7214,4237.7214
08/01/2024,01CLARK_T2L1,N,N,N,4252.5535,4252.5535,5177.4591,4252.5535,4252.5535
08/01/2024,01CLASOL_G01,N,N,N,4250.8584,4250.8584,5377.7248,4250.8584,4250.8584
08/01/2024,01CLEANG_G01,N,N,N,4126.2694,4126.2694,5182.982,4126.2694,4126.2694
08/01/2024,01CNCEP_BAT,N,N,N,4250.0108,4250.0108,5386.3986,4250.0108,4250.0108
08/01/2024,01CNCEP_CAT,N,N,N,4250.0108,4250.0108,5177.4591,4250.0108,4250.0108
