TIME_INTERVAL,RESOURCE_NAME,AP_FLAG,SEC_FLAG,PSM_FLAG,DIPC_PRICE,RTD_PRICE,ADMIN_PRICE,SEC_PRICE,PSM_PRICE,
1/18/2025 7:05:00 AM,01ACNPC_G01,N,N,N,1.0128,1.0128,1348.6117,1.0128,1.0128,
1/18/2025 7:05:00 AM,01AEC_L01,N,N,N,1.0128,1.0128,1319.0666,1.0128,1.0128,
1/18/2025 7:05:00 AM,01AMBUK_SS,N,N,N,1.0197,1.0197,1319.0666,1.0197,1.0197,
1/18/2025 7:05:00 AM,01AMBUK_T1L1,N,N,N,1.0197,1.0197,1319.0666,1.0197,1.0197,
1/18/2025 7:05:00 AM,01AMBUK_U01,N,N,N,1.0197,1.0197,1327.0832,1.0197,1.0197,
1/18/2025 7:05:00 AM,01AMBUK_U02,N,N,N,1.0197,1.0197,1331.2562,1.0197,1.0197,
1/18/2025 7:05:00 AM,01AMBUK_U03,N,N,N,1.0197,1.0197,1365.0261,1.0197,1.0197,
1/18/2025 7:05:00 AM,01AMPHAW_G01,N,N,N,1.0169,1.0169,1352.3985,1.0169,1.0169,
1/18/2025 7:05:00 AM,01ANDA_G01,N,N,N,1.0128,1.0128,1249.4254,1.0128,1.0128,
1/18/2025 7:05:00 AM,01ANGAT_A,N,N,N,0.9998,0.9998,1391.6396,0.9998,0.9998,
1/18/2025 7:05:00 AM,01ANGAT_M,N,N,N,1,1,1323.5774,1,1,
1/18/2025 7:05:00 AM,01ANGAT_SS,N,N,N,1.0019,1.0019,1319.0666,1.0019,1.0019,
1/18/2025 7:05:00 AM,01ANGAT_T5L1,N,N,N,1.0024,1.0024,1319.0666,1.0024,1.0024,
1/18/2025 7:05:00 AM,01APEC_G01,N,N,N,1.0128,1.0128,1311.1449,1.0128,1.0128,
1/18/2025 7:05:00 AM,01ARAYSOL_G01,N,N,N,1.0128,1.0128,1232.4164,1.0128,1.0128,
1/18/2025 7:05:00 AM,01ARAYSOL_G02,N,N,N,1.0128,1.0128,1246.9409,1.0128,1.0128,
1/18/2025 7:05:00 AM,01ARESOL_G01,N,N,N,1.0127,1.0127,1401.4685,1.0127,1.0127,
1/18/2025 7:05:00 AM,01ARMSOL_G01,N,N,N,1.0128,1.0128,1816.3728,1.0128,1.0128,
1/18/2025 7:05:00 AM,01BAKSIP_G01,N,N,N,1.0169,1.0169,1227.3566,1.0169,1.0169,
1/18/2025 7:05:00 AM,01BAKUN_G01,N,N,N,0.9993,0.9993,1264.4418,0.9993,0.9993,
