TIME_INTERVAL,RESOURCE_NAME,AP_FLAG,SEC_FLAG,PSM_FLAG,DIPC_PRICE,RTD_PRICE,ADMIN_PRICE,SEC_PRICE,PSM_PRICE,
10/2/2024 6:45:00 AM,01ACNPC_G01,N,N,N,2338.0970,2338.0970,2693.3310,2338.0970,2338.0970,
10/2/2024 6:45:00 AM,01AEC_L01,N,N,N,2335.2856,2335.2856,2688.9601,2335.2856,2335.2856,
10/2/2024 6:45:00 AM,01AMBUK_SS,N,N,N,2354.2622,2354.2622,2688.9601,2354.2622,2354.2622,
10/2/2024 6:45:00 AM,01AMBUK_T1L1,N,N,N,2354.2622,2354.2622,2688.9601,2354.2622,2354.2622,
10/2/2024 6:45:00 AM,01AMBUK_U01,N,N,N,2354.2622,2354.2622,2655.4865,2354.2622,2354.2622,
10/2/2024 6:45:00 AM,01AMBUK_U02,N,N,N,2354.2622,2354.2622,2551.4052,2354.2622,2354.2622,
10/2/2024 6:45:00 AM,01AMBUK_U03,N,N,N,2354.2622,2354.2622,2551.3660,2354.2622,2354.2622,
10/2/2024 6:45:00 AM,01AMPHAW_G01,N,N,N,2347.9367,2347.9367,2654.7873,2347.9367,2347.9367,
10/2/2024 6:45:00 AM,01ANDA_G01,N,N,N,2335.2856,2335.2856,2706.0114,2335.2856,2335.2856,
10/2/2024 6:45:00 AM,01ANGAT_A,N,N,N,2327.0859,2327.0859,2689.1017,2327.0859,2327.0859,
10/2/2024 6:45:00 AM,01ANGAT_M,N,N,N,2331.5372,2331.5372,2694.1736,2331.5372,2331.5372,
10/2/2024 6:45:00 AM,01ANGAT_SS,N,N,N,2331.5372,2331.5372,2688.9601,2331.5372,2331.5372,
10/2/2024 6:45:00 AM,01ANGAT_T5L1,N,N,N,2342.7825,2342.7825,2688.9601,2342.7825,2342.7825,
10/2/2024 6:45:00 AM,01APEC_G01,N,N,N,2342.7825,2342.7825,2713.7048,2342.7825,2342.7825,
10/2/2024 6:45:00 AM,01ARAYSOL_G01,N,N,N,2342.7825,2342.7825,2613.4357,2342.7825,2342.7825,
10/2/2024 6:45:00 AM,01ARAYSOL_G02,N,N,N,2335.2856,2335.2856,2611.5695,2335.2856,2335.2856,
10/2/2024 6:45:00 AM,01ARMSOL_G01,N,N,N,2338.0970,2338.0970,2519.2613,2338.0970,2338.0970,
10/2/2024 6:45:00 AM,01BAKSIP_G01,N,N,N,2347.9367,2347.9367,2663.7663,2347.9367,2347.9367,
10/2/2024 6:45:00 AM,01BAKUN_G01,N,N,N,2295.9269,2295.9269,2672.6963,2295.9269,2295.9269,
10/2/2024 6:45:00 AM,01BAKUN_SS,N,N,N,2296.1612,2296.1612,2688.9601,2296.1612,2296.1612,
10/2/2024 6:45:00 AM,01BALNEO_L01,N,N,N,2315.3720,2315.3720,2688.9601,2315.3720,2315.3720,
10/2/2024 6:45:00 AM,01BALNEO_L02,N,N,N,2315.3720,2315.3720,2688.9601,2315.3720,2315.3720,
10/2/2024 6:45:00 AM,01BALNEO_SS,N,N,N,2311.3893,2311.3893,2688.9601,2311.3893,2311.3893,
10/2/2024 6:45:00 AM,01BALSIK_SS,N,N,N,2278.3560,2278.3560,2688.9601,2278.3560,2278.3560,
