TIME_INTERVAL,RESOURCE_NAME,AP_FLAG,SEC_FLAG,PSM_FLAG,DIPC_PRICE,RTD_PRICE,ADMIN_PRICE,SEC_PRICE,PSM_PRICE,
7/15/2024 5:10:00 AM,01ACNPC_G01,N,N,N,4262.6109,4262.6109,2567.4393,4262.6109,4262.6109,
7/15/2024 5:10:00 AM,01AEC_L01,N,N,N,4252.4659,4252.4659,2236.8495,4252.4659,4252.4659,
7/15/2024 5:10:00 AM,01AMBUK_SS,N,N,N,4329.8219,4329.8219,2236.8495,4329.8219,4329.8219,
7/15/2024 5:10:00 AM,01AMBUK_T1L1,N,N,N,4329.8219,4329.8219,2236.8495,4329.8219,4329.8219,
7/15/2024 5:10:00 AM,01AMBUK_U01,N,N,N,4328.9765,4328.9765,2998.0490,4328.9765,4328.9765,
7/15/2024 5:10:00 AM,01AMBUK_U02,N,N,N,4329.8219,4329.8219,3558.4773,4329.8219,4329.8219,
7/15/2024 5:10:00 AM,01AMBUK_U03,N,N,N,4329.8219,4329.8219,2372.8595,4329.8219,4329.8219,
7/15/2024 5:10:00 AM,01AMPHAW_G01,N,N,N,4320.9450,4320.9450,2639.9523,4320.9450,4320.9450,
7/15/2024 5:10:00 AM,01ANDA_G01,N,N,N,4252.4659,4252.4659,2527.6088,4252.4659,4252.4659,
7/15/2024 5:10:00 AM,01ANGAT_A,N,N,N,4213.9993,4213.9993,2277.3447,4213.9993,4213.9993,
7/15/2024 5:10:00 AM,01ANGAT_M,N,N,N,4218.2264,4218.2264,2307.70,4218.2264,4218.2264,
7/15/2024 5:10:00 AM,01ANGAT_SS,N,N,N,4216.5355,4216.5355,2236.8495,4216.5355,4216.5355,
7/15/2024 5:10:00 AM,01ANGAT_T5L1,N,N,N,4227.1033,4227.1033,2236.8495,4227.1033,4227.1033,
7/15/2024 5:10:00 AM,01APEC_G01,N,N,N,4252.4659,4252.4659,2300.1354,4252.4659,4252.4659,
7/15/2024 5:10:00 AM,01ARAYSOL_G01,N,N,N,4252.4659,4252.4659,2327.0211,4252.4659,4252.4659,
7/15/2024 5:10:00 AM,01ARAYSOL_G02,N,N,N,4252.4659,4252.4659,2327.0211,4252.4659,4252.4659,
7/15/2024 5:10:00 AM,01ARMSOL_G01,N,N,N,4262.6109,4262.6109,2332.2280,4262.6109,4262.6109,
