TIME_INTERVAL,RESOURCE_NAME,AP_FLAG,SEC_FLAG,PSM_FLAG,DIPC_PRICE,RTD_PRICE,ADMIN_PRICE,SEC_PRICE,PSM_PRICE,
8/4/2024 3:00:00 AM,01ACNPC_G01,N,N,N,3879.8244,3879.8244,4657.9212,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01AEC_L01,N,N,N,3879.4368,3879.4368,4387.6214,3879.4368,3879.4368,
8/4/2024 3:00:00 AM,01AMBUK_SS,N,N,N,3837.96,3837.96,4387.6214,3837.96,3837.96,
8/4/2024 3:00:00 AM,01AMBUK_T1L1,N,N,N,3837.96,3837.96,4387.6214,3837.96,3837.96,
8/4/2024 3:00:00 AM,01AMBUK_U01,N,N,N,3836.7971,3836.7971,3922.9563,3836.7971,3836.7971,
8/4/2024 3:00:00 AM,01AMBUK_U02,N,N,N,3837.96,3837.96,3632.5875,3837.96,3837.96,
8/4/2024 3:00:00 AM,01AMBUK_U03,N,N,N,3836.7971,3836.7971,3632.2269,3836.7971,3836.7971,
8/4/2024 3:00:00 AM,01AMPHAW_G01,N,N,N,3841.8363,3841.8363,4880.4818,3841.8363,3841.8363,
8/4/2024 3:00:00 AM,01ANDA_G01,N,N,N,3879.4368,3879.4368,5029.7429,3879.4368,3879.4368,
8/4/2024 3:00:00 AM,01ANGAT_A,N,N,N,3862.3809,3862.3809,4568.7902,3862.3809,3862.3809,
8/4/2024 3:00:00 AM,01ANGAT_M,N,N,N,3866.6449,3866.6449,4634.1541,3866.6449,3866.6449,
8/4/2024 3:00:00 AM,01ANGAT_SS,N,N,N,3865.0943,3865.0943,4387.6214,3865.0943,3865.0943,
8/4/2024 3:00:00 AM,01ANGAT_T5L1,N,N,N,3876.3357,3876.3357,4387.6214,3876.3357,3876.3357,
8/4/2024 3:00:00 AM,01APEC_G01,N,N,N,3879.4368,3879.4368,5468.0670,3879.4368,3879.4368,
8/4/2024 3:00:00 AM,01ARAYSOL_G01,N,N,N,3879.4368,3879.4368,4662.8708,3879.4368,3879.4368,
8/4/2024 3:00:00 AM,01ARAYSOL_G02,N,N,N,3879.4368,3879.4368,4662.8708,3879.4368,3879.4368,
8/4/2024 3:00:00 AM,01ARMSOL_G01,N,N,N,3879.8244,3879.8244,4671.3508,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01BAKSIP_G01,N,N,N,3841.8363,3841.8363,4721.1288,3841.8363,3841.8363,
8/4/2024 3:00:00 AM,01BAKUN_G01,N,N,N,3840.2858,3840.2858,4619.1444,3840.2858,3840.2858,
8/4/2024 3:00:00 AM,01BAKUN_SS,N,N,N,3840.2858,3840.2858,4387.6214,3840.2858,3840.2858,
8/4/2024 3:00:00 AM,01BALNEO_L01,N,N,N,3829.4321,3829.4321,4387.6214,3829.4321,3829.4321,
8/4/2024 3:00:00 AM,01BALNEO_L02,N,N,N,3829.4321,3829.4321,4387.6214,3829.4321,3829.4321,
8/4/2024 3:00:00 AM,01BALNEO_SS,N,N,N,3820.9041,3820.9041,4387.6214,3820.9041,3820.9041,
8/4/2024 3:00:00 AM,01BALSIK_SS,N,N,N,3761.9838,3761.9838,4387.6214,3761.9838,3761.9838,
8/4/2024 3:00:00 AM,01BALWIND_G01,N,N,N,3903.0824,3903.0824,4769.0423,3903.0824,3903.0824,
8/4/2024 3:00:00 AM,01BANTAY_SS,N,N,N,3941.4582,3941.4582,4387.6214,3941.4582,3941.4582,
8/4/2024 3:00:00 AM,01BATAAN_SS,N,N,N,3655.7722,3655.7722,4387.6214,3655.7722,3655.7722,
8/4/2024 3:00:00 AM,01BAUANG_GS1,N,N,N,3845.3250,3845.3250,4693.5857,3845.3250,3845.3250,
8/4/2024 3:00:00 AM,01BAUANG_GS2,N,N,N,3845.3250,3845.3250,4693.9579,3845.3250,3845.3250,
8/4/2024 3:00:00 AM,01BAUANG_GS3,N,N,N,3845.3250,3845.3250,4693.9579,3845.3250,3845.3250,
8/4/2024 3:00:00 AM,01BAUANG_SS,N,N,N,3848.4261,3848.4261,4387.6214,3848.4261,3848.4261,
8/4/2024 3:00:00 AM,01BAUAN_T1L1,N,N,N,3849.2014,3849.2014,4387.6214,3849.2014,3849.2014,
8/4/2024 3:00:00 AM,01BAUAN_T1L2,N,N,N,3849.2014,3849.2014,4387.6214,3849.2014,3849.2014,
8/4/2024 3:00:00 AM,01BAUAN_T1L3,N,N,N,3849.2014,3849.2014,4387.6214,3849.2014,3849.2014,
8/4/2024 3:00:00 AM,01BAUAN_T2L1,N,N,N,3849.2014,3849.2014,4387.6214,3849.2014,3849.2014,
8/4/2024 3:00:00 AM,01BAUAN_T2L2,N,N,N,3848.8137,3848.8137,4387.6214,3848.8137,3848.8137,
8/4/2024 3:00:00 AM,01BCNOT_SS,N,N,N,3865.4820,3865.4820,4387.6214,3865.4820,3865.4820,
8/4/2024 3:00:00 AM,01BCNOT_T1L1,N,N,N,3865.4820,3865.4820,4387.6214,3865.4820,3865.4820,
8/4/2024 3:00:00 AM,01BCNOT_T1L2,N,N,N,3865.4820,3865.4820,4387.6214,3865.4820,3865.4820,
8/4/2024 3:00:00 AM,01BINENG_G01,N,N,N,3841.8363,3841.8363,3828.7001,3841.8363,3841.8363,
8/4/2024 3:00:00 AM,01BINGA_SS,N,N,N,3833.3084,3833.3084,4387.6214,3833.3084,3833.3084,
8/4/2024 3:00:00 AM,01BINGA_T1L1,N,N,N,3833.3084,3833.3084,4387.6214,3833.3084,3833.3084,
8/4/2024 3:00:00 AM,01BINGA_U01,N,N,N,3831.7579,3831.7579,3758.8830,3831.7579,3831.7579,
8/4/2024 3:00:00 AM,01BINGA_U02,N,N,N,3831.7579,3831.7579,4491.1021,3831.7579,3831.7579,
8/4/2024 3:00:00 AM,01BINGA_U03,N,N,N,3831.7579,3831.7579,4789.7848,3831.7579,3831.7579,
8/4/2024 3:00:00 AM,01BINGA_U04,N,N,N,3831.7579,3831.7579,3690.0828,3831.7579,3831.7579,
8/4/2024 3:00:00 AM,01BNTAY_T1L1,N,N,N,3941.0705,3941.0705,4387.6214,3941.0705,3941.0705,
8/4/2024 3:00:00 AM,01BNTAY_T1L2,N,N,N,3941.0705,3941.0705,4387.6214,3941.0705,3941.0705,
8/4/2024 3:00:00 AM,01BNTAY_T1L3,N,N,N,3941.0705,3941.0705,4387.6214,3941.0705,3941.0705,
8/4/2024 3:00:00 AM,01BOSUNG_G01,N,N,N,3917.4249,3917.4249,4796.2764,3917.4249,3917.4249,
8/4/2024 3:00:00 AM,01BOTOLAN_SS,N,N,N,3799.9719,3799.9719,4387.6214,3799.9719,3799.9719,
8/4/2024 3:00:00 AM,01BOTOL_T1L1,N,N,N,3806.5617,3806.5617,4387.6214,3806.5617,3806.5617,
8/4/2024 3:00:00 AM,01BOTOL_T1L2,N,N,N,3806.5617,3806.5617,4387.6214,3806.5617,3806.5617,
8/4/2024 3:00:00 AM,01BPC_T1L1,N,N,N,3656.1599,3656.1599,4387.6214,3656.1599,3656.1599,
8/4/2024 3:00:00 AM,01BPC_T2L2,N,N,N,3656.1599,3656.1599,4387.6214,3656.1599,3656.1599,
8/4/2024 3:00:00 AM,01BPPC_SS,N,N,N,3845.3250,3845.3250,4387.6214,3845.3250,3845.3250,
8/4/2024 3:00:00 AM,01BT2020_G01,N,N,N,3753.4559,3753.4559,4510.8311,3753.4559,3753.4559,
8/4/2024 3:00:00 AM,01BT2020_G02,N,N,N,3753.4559,3753.4559,4510.8311,3753.4559,3753.4559,
8/4/2024 3:00:00 AM,01BTNSOL_G01,N,N,N,3657.3228,3657.3228,4418.8801,3657.3228,3657.3228,
8/4/2024 3:00:00 AM,01BTPP_T3L1,N,N,N,3657.3228,3657.3228,4387.6214,3657.3228,3657.3228,
8/4/2024 3:00:00 AM,01BTPP_T3L2,N,N,N,3657.3228,3657.3228,4387.6214,3657.3228,3657.3228,
8/4/2024 3:00:00 AM,01BTPP_T3L3,N,N,N,3657.3228,3657.3228,4387.6214,3657.3228,3657.3228,
8/4/2024 3:00:00 AM,01BTPP_T3L4,N,N,N,3657.3228,3657.3228,4387.6214,3657.3228,3657.3228,
8/4/2024 3:00:00 AM,01BTPP_T3L5,N,N,N,3657.3228,3657.3228,4387.6214,3657.3228,3657.3228,
8/4/2024 3:00:00 AM,01BTPP_T4L1,N,N,N,3876.3357,3876.3357,4387.6214,3876.3357,3876.3357,
8/4/2024 3:00:00 AM,01BTSOLEN_BAT,N,N,N,3657.3228,3657.3228,4418.8801,3657.3228,3657.3228,
8/4/2024 3:00:00 AM,01BTSOLEN_G01,N,N,N,3657.3228,3657.3228,4418.8801,3657.3228,3657.3228,
8/4/2024 3:00:00 AM,01BULSOL_G01,N,N,N,3899.9814,3899.9814,4686.1201,3899.9814,3899.9814,
8/4/2024 3:00:00 AM,01BURGOS_G01,N,N,N,3912.3856,3912.3856,3688.4734,3912.3856,3912.3856,
8/4/2024 3:00:00 AM,01BURGOS_G02,N,N,N,3917.4249,3917.4249,4796.2764,3917.4249,3917.4249,
8/4/2024 3:00:00 AM,01BURGOS_G03,N,N,N,3917.4249,3917.4249,3859.1671,3917.4249,3917.4249,
8/4/2024 3:00:00 AM,01BURGOS_SS,N,N,N,3912.3856,3912.3856,4387.6214,3912.3856,3912.3856,
8/4/2024 3:00:00 AM,01BUTAO_G01,N,N,N,3846.1003,3846.1003,4647.2266,3846.1003,3846.1003,
8/4/2024 3:00:00 AM,01BYOMB_DID,N,N,N,3888.3524,3888.3524,4387.6214,3888.3524,3888.3524,
8/4/2024 3:00:00 AM,01BYOMB_SS,N,N,N,3887.5771,3887.5771,4387.6214,3887.5771,3887.5771,
8/4/2024 3:00:00 AM,01BYOMB_T1L1,N,N,N,3890.6782,3890.6782,4387.6214,3890.6782,3890.6782,
8/4/2024 3:00:00 AM,01BYOMB_T1L2,N,N,N,3888.3524,3888.3524,4387.6214,3888.3524,3888.3524,
8/4/2024 3:00:00 AM,01BYOMB_T1L3,N,N,N,3890.6782,3890.6782,4387.6214,3890.6782,3890.6782,
8/4/2024 3:00:00 AM,01CABSOL_G01,N,N,N,3925.1775,3925.1775,4731.6386,3925.1775,3925.1775,
8/4/2024 3:00:00 AM,01CAGBIO_G01,N,N,N,3976.3452,3976.3452,4983.5320,3976.3452,3976.3452,
8/4/2024 3:00:00 AM,01CAGYSOL_G01,N,N,N,4026.3499,4026.3499,5159.0898,4026.3499,4026.3499,
8/4/2024 3:00:00 AM,01CALIBUNK_G01,N,N,N,3879.4368,3879.4368,4662.8708,3879.4368,3879.4368,
8/4/2024 3:00:00 AM,01CAPRIS_G01,N,N,N,3899.9814,3899.9814,4788.9123,3899.9814,3899.9814,
8/4/2024 3:00:00 AM,01CAPRIS_G02,N,N,N,3899.9814,3899.9814,4788.9123,3899.9814,3899.9814,
8/4/2024 3:00:00 AM,01CASECN_G01,N,N,N,3762.3714,3762.3714,3524.4211,3762.3714,3762.3714,
8/4/2024 3:00:00 AM,01CASECN_SS,N,N,N,3762.3714,3762.3714,4387.6214,3762.3714,3762.3714,
8/4/2024 3:00:00 AM,01CAYBSOL_G01,N,N,N,3791.4440,3791.4440,4555.6890,3791.4440,3791.4440,
8/4/2024 3:00:00 AM,01CBNTU_SS,N,N,N,3925.5652,3925.5652,4387.6214,3925.5652,3925.5652,
8/4/2024 3:00:00 AM,01CBNTU_T1L1,N,N,N,3925.1775,3925.1775,4387.6214,3925.1775,3925.1775,
8/4/2024 3:00:00 AM,01CBNTU_T1L3,N,N,N,3925.1775,3925.1775,4387.6214,3925.1775,3925.1775,
8/4/2024 3:00:00 AM,01CBNTU_T2L1,N,N,N,3925.1775,3925.1775,4387.6214,3925.1775,3925.1775,
8/4/2024 3:00:00 AM,01CBNTU_T2L2,N,N,N,3925.1775,3925.1775,4387.6214,3925.1775,3925.1775,
8/4/2024 3:00:00 AM,01CBN_CELCOR,N,N,N,3925.1775,3925.1775,4387.6214,3925.1775,3925.1775,
8/4/2024 3:00:00 AM,01CIP2_G01,N,N,N,3865.4820,3865.4820,4727.8605,3865.4820,3865.4820,
8/4/2024 3:00:00 AM,01CLARK_L01,N,N,N,3876.3357,3876.3357,4387.6214,3876.3357,3876.3357,
8/4/2024 3:00:00 AM,01CLARK_L02,N,N,N,3879.8244,3879.8244,4387.6214,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01CLARK_L03,N,N,N,3879.8244,3879.8244,4387.6214,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01CLARK_L04,N,N,N,3880.5997,3880.5997,4387.6214,3880.5997,3880.5997,
8/4/2024 3:00:00 AM,01CLARK_SS,N,N,N,3879.8244,3879.8244,4387.6214,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01CLARK_T1L1,N,N,N,3879.8244,3879.8244,4387.6214,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01CLARK_T1L2,N,N,N,3876.3357,3876.3357,4387.6214,3876.3357,3876.3357,
8/4/2024 3:00:00 AM,01CLARK_T2L1,N,N,N,3882.1502,3882.1502,4387.6214,3882.1502,3882.1502,
8/4/2024 3:00:00 AM,01CLASOL_G01,N,N,N,3879.8244,3879.8244,4668.8092,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01CLEANG_G01,N,N,N,3753.4559,3753.4559,4510.8311,3753.4559,3753.4559,
8/4/2024 3:00:00 AM,01CNCEP_BAT,N,N,N,3880.2121,3880.2121,4671.6303,3880.2121,3880.2121,
8/4/2024 3:00:00 AM,01CNCEP_CAT,N,N,N,3880.2121,3880.2121,4387.6214,3880.2121,3880.2121,
8/4/2024 3:00:00 AM,01CNCEP_DAP2,N,N,N,3880.2121,3880.2121,4387.6214,3880.2121,3880.2121,
8/4/2024 3:00:00 AM,01CNCEP_SS,N,N,N,3874.3976,3874.3976,4387.6214,3874.3976,3874.3976,
8/4/2024 3:00:00 AM,01CNCEP_T1L3,N,N,N,3874.3976,3874.3976,4387.6214,3874.3976,3874.3976,
8/4/2024 3:00:00 AM,01CNCEP_TEI,N,N,N,3879.8244,3879.8244,4387.6214,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01CN_TRELC1,N,N,N,3879.8244,3879.8244,4387.6214,3879.8244,3879.8244,
8/4/2024 3:00:00 AM,01CN_TRELC2,N,N,N,3880.2121,3880.2121,4387.6214,3880.2121,3880.2121,
8/4/2024 3:00:00 AM,01CONSOL_G01,N,N,N,3880.2121,3880.2121,4671.6303,3880.2121,3880.2121,
8/4/2024 3:00:00 AM,01CRUZD_MECO,N,N,N,3899.9814,3899.9814,4387.6214,3899.9814,3899.9814,
8/4/2024 3:00:00 AM,01CRUZD_SS,N,N,N,3896.4927,3896.4927,4387.6214,3896.4927,3896.4927,
